Age;Age Group;Gender;Time Spent;Platform;Interest;Location;Demograhphics;Profession;Indebt;Is Home Owner;Owns Car;;;
56;50-60;male;3;Instagram;Sports;United Kingdom;Urban;Software Engineer;TRUE;FALSE;FALSE;;;
46;40-50;female;2;Facebook;Travel;United Kingdom;Urban;Student;TRUE;TRUE;TRUE;;;
32;30-40;male;8;Instagram;Sports;Australia;Sub_Urban;Marketer Manager;FALSE;FALSE;FALSE;;;
60;60-70;non-binary;5;Instagram;Travel;United Kingdom;Urban;Student;FALSE;TRUE;FALSE;;;
25;20-30;male;1;Instagram;Lifestyle;Australia;Urban;Software Engineer;FALSE;TRUE;TRUE;;;
38;30-40;male;3;Facebook;Travel;United States;Urban;Marketer Manager;TRUE;TRUE;TRUE;;;
56;50-60;male;8;YouTube;Sports;United States;Urban;Student;TRUE;TRUE;TRUE;;;
36;30-40;male;4;Instagram;Sports;Australia;Urban;Marketer Manager;TRUE;FALSE;TRUE;;;
40;40-50;non-binary;7;YouTube;Lifestyle;Australia;Sub_Urban;Marketer Manager;FALSE;FALSE;TRUE;;;
28;20-30;non-binary;2;Instagram;Sports;Australia;Sub_Urban;Marketer Manager;TRUE;FALSE;TRUE;;;
28;20-30;female;7;YouTube;Lifestyle;United Kingdom;Urban;Student;TRUE;TRUE;FALSE;;;
41;40-50;non-binary;5;Facebook;Sports;United States;Sub_Urban;Marketer Manager;FALSE;FALSE;FALSE;;;
53;50-60;non-binary;5;Facebook;Sports;Australia;Rural;Student;FALSE;TRUE;TRUE;;;
57;50-60;female;6;Instagram;Lifestyle;United Kingdom;Urban;Software Engineer;FALSE;TRUE;FALSE;;;
41;40-50;non-binary;9;YouTube;Travel;United States;Rural;Student;TRUE;TRUE;FALSE;;;
20;20-30;male;6;Facebook;Sports;United Kingdom;Sub_Urban;Software Engineer;TRUE;TRUE;FALSE;;;
39;30-40;male;8;Instagram;Travel;United States;Sub_Urban;Student;TRUE;TRUE;FALSE;;;
19;18-20;female;7;Instagram;Sports;United Kingdom;Rural;Marketer Manager;FALSE;TRUE;TRUE;;;
41;40-50;female;9;Facebook;Sports;United States;Sub_Urban;Student;FALSE;FALSE;FALSE;;;
61;60-70;female;4;Facebook;Sports;United States;Urban;Marketer Manager;FALSE;FALSE;FALSE;;;
47;40-50;male;2;Instagram;Sports;United Kingdom;Rural;Software Engineer;FALSE;FALSE;TRUE;;;
55;50-60;non-binary;7;YouTube;Travel;Australia;Urban;Student;TRUE;FALSE;TRUE;;;
19;18-20;male;6;YouTube;Travel;United States;Rural;Marketer Manager;TRUE;TRUE;TRUE;;;
38;30-40;female;1;YouTube;Sports;Australia;Sub_Urban;Software Engineer;TRUE;TRUE;TRUE;;;
50;50-60;non-binary;9;Instagram;Sports;United Kingdom;Rural;Software Engineer;TRUE;FALSE;FALSE;;;
29;20-30;non-binary;9;Facebook;Travel;Australia;Rural;Student;TRUE;FALSE;TRUE;;;
39;30-40;male;2;Instagram;Lifestyle;Australia;Urban;Software Engineer;TRUE;FALSE;FALSE;;;
61;60-70;female;3;Facebook;Lifestyle;Australia;Sub_Urban;Marketer Manager;TRUE;FALSE;FALSE;;;
42;40-50;male;5;YouTube;Travel;Australia;Urban;Software Engineer;TRUE;FALSE;TRUE;;;
44;40-50;non-binary;5;YouTube;Sports;Australia;Sub_Urban;Software Engineer;FALSE;FALSE;TRUE;;;
59;50-60;male;1;Facebook;Sports;United States;Urban;Marketer Manager;FALSE;FALSE;TRUE;;;
45;40-50;male;8;Facebook;Lifestyle;United States;Rural;Software Engineer;TRUE;FALSE;TRUE;;;
33;30-40;female;8;Instagram;Lifestyle;United States;Urban;Software Engineer;FALSE;TRUE;TRUE;;;
32;30-40;female;4;YouTube;Travel;United Kingdom;Sub_Urban;Software Engineer;TRUE;TRUE;TRUE;;;
64;60-70;non-binary;7;Instagram;Lifestyle;Australia;Sub_Urban;Software Engineer;TRUE;TRUE;FALSE;;;
61;60-70;male;3;Instagram;Travel;United States;Rural;Marketer Manager;FALSE;TRUE;FALSE;;;
20;20-30;male;6;Instagram;Lifestyle;United Kingdom;Sub_Urban;Software Engineer;TRUE;FALSE;FALSE;;;
54;50-60;male;9;YouTube;Lifestyle;United States;Urban;Marketer Manager;TRUE;TRUE;FALSE;;;
24;20-30;non-binary;1;Instagram;Lifestyle;United States;Rural;Software Engineer;TRUE;FALSE;TRUE;;;
38;30-40;non-binary;5;Instagram;Sports;Australia;Sub_Urban;Software Engineer;TRUE;TRUE;TRUE;;;
26;20-30;female;4;Instagram;Sports;United Kingdom;Sub_Urban;Software Engineer;TRUE;FALSE;FALSE;;;
56;50-60;female;8;Instagram;Sports;Australia;Urban;Software Engineer;TRUE;FALSE;FALSE;;;
35;30-40;female;1;Instagram;Lifestyle;Australia;Urban;Marketer Manager;TRUE;TRUE;FALSE;;;
21;20-30;male;9;Instagram;Travel;United States;Rural;Marketer Manager;FALSE;TRUE;TRUE;;;
42;40-50;male;6;YouTube;Travel;Australia;Sub_Urban;Marketer Manager;FALSE;FALSE;TRUE;;;
31;30-40;female;4;Instagram;Travel;United Kingdom;Urban;Student;TRUE;FALSE;TRUE;;;
26;20-30;male;9;Facebook;Travel;Australia;Rural;Software Engineer;FALSE;FALSE;FALSE;;;
43;40-50;female;5;Instagram;Sports;Australia;Sub_Urban;Software Engineer;TRUE;TRUE;FALSE;;;
19;18-20;non-binary;5;Instagram;Sports;Australia;Sub_Urban;Marketer Manager;TRUE;TRUE;TRUE;;;
37;30-40;female;5;YouTube;Lifestyle;United States;Rural;Student;TRUE;FALSE;TRUE;;;
45;40-50;non-binary;1;YouTube;Lifestyle;United Kingdom;Rural;Software Engineer;TRUE;TRUE;FALSE;;;
64;60-70;male;1;Facebook;Travel;United States;Urban;Marketer Manager;FALSE;FALSE;FALSE;;;
24;20-30;female;8;Facebook;Sports;United States;Sub_Urban;Software Engineer;FALSE;TRUE;TRUE;;;
